2026-04-15 22:00:13,763 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:13,765 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:13,779 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:13,784 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:13,834 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:13,854 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:14,027 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:14,027 | backend | INFO | Received odom for ysc pose=[2.948, 0.055, 0.0, 0.0, 0.0, -0.4199, 0.9076]
2026-04-15 22:00:14,161 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:14,161 | backend | INFO | Received odom for galaxy pose=[-1.247, -0.525, 0.0, 0.0, 0.0, 0.3065, -0.9519]
2026-04-15 22:00:18,800 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:18,808 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:18,812 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:18,812 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:18,875 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:18,889 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:19,104 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:19,104 | backend | INFO | Received odom for ysc pose=[2.247, -0.615, 0.0, 0.0, 0.0, 0.1772, 0.9842]
2026-04-15 22:00:19,236 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:19,236 | backend | INFO | Received odom for galaxy pose=[-0.218, 0.258, 0.0, 0.0, 0.0, -0.1447, -0.9895]
2026-04-15 22:00:23,811 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:23,833 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:23,858 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:23,860 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:23,888 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:23,914 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:24,171 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:24,171 | backend | INFO | Received odom for ysc pose=[1.451, -0.939, 0.0, 0.0, 0.0, 0.7077, 0.7065]
2026-04-15 22:00:24,279 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:24,279 | backend | INFO | Received odom for galaxy pose=[1.047, 0.837, 0.0, 0.0, 0.0, -0.5625, -0.8268]
2026-04-15 22:00:28,847 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:28,888 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:28,891 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:28,892 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:28,894 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:28,959 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:29,251 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:29,251 | backend | INFO | Received odom for ysc pose=[2.155, -0.401, 0.0, 0.0, 0.0, 0.9847, 0.1743]
2026-04-15 22:00:29,280 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:29,280 | backend | INFO | Received odom for galaxy pose=[1.161, 0.779, 0.0, 0.0, 0.0, -0.8662, -0.4998]
2026-04-15 22:00:33,897 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:33,909 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:33,913 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:33,934 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:33,937 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:34,015 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:34,307 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:34,307 | backend | INFO | Received odom for ysc pose=[2.949, 0.138, 0.0, 0.0, 0.0, 0.9083, -0.4183]
2026-04-15 22:00:34,347 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:34,347 | backend | INFO | Received odom for galaxy pose=[-0.018, 0.118, 0.0, 0.0, 0.0, -0.9978, -0.0658]
2026-04-15 22:00:38,924 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:38,926 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:38,945 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:38,948 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:38,964 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:39,091 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:39,379 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:39,380 | backend | INFO | Received odom for galaxy pose=[-1.171, -0.63, 0.0, 0.0, 0.0, -0.9259, 0.3778]
2026-04-15 22:00:39,400 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:39,401 | backend | INFO | Received odom for ysc pose=[2.241, -0.184, 0.0, 0.0, 0.0, 0.5038, -0.8638]
2026-04-15 22:00:43,947 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:43,950 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:43,975 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:43,977 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:44,014 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:44,108 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:44,450 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:44,450 | backend | INFO | Received odom for galaxy pose=[-1.022, -0.894, 0.0, 0.0, 0.0, -0.6647, 0.7471]
2026-04-15 22:00:44,462 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:44,462 | backend | INFO | Received odom for ysc pose=[1.451, -0.852, 0.0, 0.0, 0.0, -0.079, -0.9969]
2026-04-15 22:00:48,954 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:48,957 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:49,023 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:49,040 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:49,042 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:49,163 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:49,487 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:49,487 | backend | INFO | Received odom for galaxy pose=[0.263, -0.468, 0.0, 0.0, 0.0, -0.2703, 0.9628]
